FL,342876,325687
FL,685753,946230
FL,227953,320395
FL,227953,288178
FL,227953,256493
FL,342876,475392
FL,227953,246625
FL,392480,366822
FL,386758,297610
FL,386758,647032
FL,386758,715216
FL,192092,276648
FL,248306,219751
FL,798942,1219553
FL,265255,303539
FL,836471,710799
FL,326557,418704
FL,101732,157175
FL,527425,962165
FL,813375,755788
FL,695601,759465
FL,7102497,9450000
FL,8377193,13860000
FL,5901525,7634212
FL,2087910,3544619
FL,1183159,1413578
FL,1646573,1369679
FL,964164,1341635
FL,2054323,2284521
FL,2844415,4966441
FL,2758180,4181423
FL,4004697,3378362
FL,2460348,3765771
FL,849062,1026601
FL,3476417,3413431
FL,1918098,3328559
FL,1983105,3171698
FL,413190,608587
FL,43200,51278
FL,171900,139065
FL,667346,775381
FL,1452439,1358646
FL,1452439,1965731
FL,1452439,1352221
FL,1452439,2110481
FL,2191500,2719180
FL,6855260,7320760
FL,2566557,2307823
FL,757233,694280
FL,22500,35370
FL,109308,164276
FL,444682,561741
FL,1500582,2327944
FL,10440000,10710000
FL,1040923,1608748
FL,26190000,29070000
FL,56113,86929
FL,5611,4527
FL,140282,227128
FL,4489,5550
FL,146326,192141
FL,2268783,2234660
FL,158965,156540
FL,205311,277196
FL,171172,240931
FL,641287,672559
FL,2668410,3111899
FL,337500,277020
FL,270000,462093
FL,96300,137300
FL,1124133,1112981
FL,5499660,6199079
FL,879260,991731
FL,5034994,8100953
FL,742256,818040
FL,720000,1024692
FL,11250000,11610000
FL,3639101,3484803
FL,1519740,2516894
FL,82170,99341
FL,19170000,20700000
FL,365709,453585
FL,1153231,1736039
FL,837000,1494788
FL,410699,340387
FL,32490000,39330000
FL,592683,573835
FL,154111,222919
FL,294737,229983
FL,1566401,1990802
FL,4328269,6615846
FL,17730000,27180000
FL,1602927,1420472
FL,615141,577712
FL,23670000,35820000
FL,1053910,1267272
FL,14130000,21330000
FL,13770000,11250000
FL,82492,114412
FL,1050933,1080124
FL,659430,1036623
FL,3150,3695
FL,3133418,3175155
FL,1958908,2699532
FL,1682781,1452995
FL,2076220,2528836
FL,162012,201202
FL,51840000,47880000
FL,81090000,77760000
FL,7016528,11610000
FL,2962705,3658852
FL,2375353,2015249
FL,3240554,3957336
FL,738776,573754
FL,933584,980165
FL,2212837,2496505
FL,18720000,28440000
FL,33300000,36000000
FL,63000,106954
FL,6057000,6123554
FL,162788,234158
FL,378914,486526
FL,126516,137889
FL,262532,420690
FL,636282,845961
FL,41580000,44460000
FL,198554,302554
FL,1557899,2298024
FL,853461,1451225
FL,325661,294710
FL,418402,502665
FL,295649,469612
FL,130527,189397
FL,2326068,1889139
FL,27900000,34650000
FL,193317,156800
FL,1040923,1201989
FL,21240000,20610000
FL,522540,498738
FL,45000,54033
FL,45000,32435
FL,45000,50604
FL,4823,5383
FL,1706400,2513844
FL,2841294,3274194
FL,16560000,15030000
FL,5677632,6046791
FL,3648473,3392467
FL,3383797,3142871
FL,2546975,3627988
FL,1593189,1410367
FL,4239000,6039455
FL,4347657,7134935
FL,2925000,3293784
FL,196200,152360
FL,280564,318067
FL,216216,226087
FL,235454,221262
FL,203982,264095
FL,1614509,2543460
FL,1614509,1940478
FL,1614509,1729462
FL,1614509,1690713
FL,1614509,2490299
FL,1614509,1509291
FL,1614509,2465403
FL,769260,1041271
FL,769260,643628
FL,769260,706038
FL,769260,633793
FL,324087,358837
FL,356033,516565
FL,144332,141549
FL,492605,633126
FL,252514,362684
FL,227342,240824
FL,1037664,1230085
FL,2211230,3394911
FL,2211230,2989584
FL,2211230,3880210
FL,2211230,3410248
FL,2211230,2376016
FL,625617,557264
FL,532280,663622
FL,99506,135743
FL,129174,108397
FL,1042759,1563839
FL,10620000,10620000
FL,1860320,2139427
FL,1860320,2838164
FL,1280933,1644165
FL,1280933,1517691
FL,1280933,1927747
FL,1280933,1544037
FL,1280933,1072418
FL,49860,75385
FL,1325389,1708400
FL,99863,88561
FL,22500,23587
FL,351504,401953
FL,296819,260042
FL,405359,680614
FL,971635,1326573
FL,7654616,8674364
FL,2062437,3110090
FL,930312,1504040
FL,140282,181064
FL,39279,39333
FL,140282,151573
FL,28056,39590
FL,33667,36975
FL,140282,166151
FL,142527,197440
FL,46012,62831
FL,142527,148057
FL,50501,70391
FL,35912,45945
FL,83720,73314
FL,69580,69711
FL,22445,25770
FL,56113,69114
FL,9314,9295
FL,3591,5559
FL,1683,1790
FL,2805,3491
FL,15711,21967
FL,39279,31705
FL,38160000,51570000
FL,1635507,2434237
FL,122400,132387
FL,77400,88227
FL,602275,600390
FL,167295,153153
FL,1159291,1169011
FL,7295167,7640082
FL,19080000,24570000
FL,2185181,1650620
FL,196200,232398
FL,160200,189269
FL,738675,801648
FL,6777709,10170000
FL,729456,987020
FL,18000000,28170000
FL,718649,918174
FL,2916648,4016487
FL,1628549,1869847
FL,1265829,1591162
FL,6088500,7679181
FL,22500,34529
FL,37800,34990
FL,1179000,1853128
FL,93829,147269
FL,111740,125136
FL,122675,191897
FL,121896,189865
FL,104519,110303
FL,138600000,144900000
FL,671499,1051991
FL,224627,256631
FL,1308777,1554514
FL,22500000,20520000
FL,18450000,26730000
FL,15030000,21420000
FL,4455000,7062493
FL,31140000,38160000
FL,2965575,3034139
FL,10170000,8924003
FL,14130000,11520000
FL,1394145,1484792
FL,90000,121305
FL,585000,701241
FL,1490400,2122138
FL,180000,187293
FL,715500,1095298
FL,20610000,26100000
FL,299620,279716
FL,42570000,59850000
FL,12960000,15120000
FL,42408,52043
FL,163800,253202
FL,136080,125411
FL,117266,163421
FL,4744843,4000491
FL,2663536,3840713
FL,1675623,2338098
FL,673191,786924
FL,1765152,1499028
FL,8813201,8310849
FL,10710000,10440000
FL,28350000,21870000
FL,2565000,3133804
FL,954630,1630741
FL,92700,121746
FL,1103400,1437447
FL,652662,873168
FL,114325,172971
FL,449164,702361
FL,444017,579043
FL,206178,209893
FL,127823,180948
FL,170153,192956
FL,382733,393266
FL,73492,117906
FL,133894,175904
FL,176028,230627
FL,40261,52505
FL,6782,8354
FL,293068,409342
FL,45879,39916
FL,8741,6899
FL,22776,25534
FL,57917,45188
FL,1583321,2652204
FL,1966489,1925586
FL,13680000,11070000
FL,21060000,31410000
FL,3454946,4601117
FL,716493,865165
FL,17280000,27990000
FL,4891147,5075837
FL,687918,764943
FL,2612675,4396756
FL,84164,114848
FL,37491,56726
FL,45378,50072
FL,70612,74942
FL,230197,373329
FL,43342,48150
FL,4236,4729
FL,21672,27916
FL,3950,5655
FL,30103,44363
FL,89573,104335
FL,21649,29184
FL,35306,45476
FL,35306,30239
FL,4236,6847
FL,35306,38969
FL,4236,4898
FL,33667,44037
FL,29178,40864
FL,44890,67382
FL,1107674,1659491
FL,30301,31605
FL,10100,13784
FL,13467,22851
FL,482173,763768
FL,14308,17562
FL,11222,17114
FL,37692,43551
FL,26036,35657
FL,50501,47670
FL,78558,102722
FL,40850,63309
FL,112226,96509
FL,10080000,8959371
FL,360274,343918
FL,11340000,18990000
FL,2815437,2542264
FL,771404,1044564
FL,672390,656271
FL,432270,625347
FL,679500,1085446
FL,1901232,2982410
FL,429660,449761
FL,28620000,26820000
FL,1572390,1981212
FL,324860,539113
FL,436775,792161
FL,436775,536547
FL,268812,359330
FL,302369,448800
FL,247850,309060
FL,68012,83814
FL,177678,286053
FL,19072,21192
FL,116593,100986
FL,29418,47195
FL,271961,420343
FL,136925,168675
FL,420041,622013
FL,394222,411962
FL,37065,35686
FL,46871,62350
FL,1274789,1869351
FL,809406,721734
FL,33556,49348
FL,496151,778000
FL,140433,240282
FL,968192,1054361
FL,69812,93433
FL,4678,6229
FL,17542,22082
FL,10440000,15930000
FL,1956267,2570464
FL,31577,50494
FL,215039,284703
FL,1102428,1658491
FL,138026,186978
FL,905043,1097523
FL,318900,337792
FL,318900,256768
FL,184500000,227700000
FL,14670000,22590000
FL,23670000,22320000
FL,8107317,8994062
FL,2569821,3854762
FL,861002,1058609
FL,9090000,14490000
FL,900,773
FL,38823,53333
FL,940910,836871
FL,541570,446188
FL,7762500,9630000
FL,1200241,1111980
FL,600826,575903
FL,576599,866914
FL,106200000,89190000
FL,1510779,1823613
FL,101250,104509
FL,8978,7621
FL,14589,19495
FL,557100,466341
FL,18000,26662
FL,436632,685220
FL,2512980,4346349
FL,6016709,8847931
FL,6244181,9450000
FL,18712,28896
FL,104898,136875
FL,151319,193967
FL,140613,216293
FL,1752048,2987593
FL,47051,55182
FL,100579,151601
FL,63064,78249
FL,90413,103380
FL,90413,79647
FL,90413,153148
FL,45161,58123
